Indicator Code: CG0730
"Indicator Name: Prostate cancer"
Export date: 11/14/2025 1:58:18 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C61"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,1987,All,Age_all,[All],72.00000000,0.41556043,3.66448761,2.34062612,
EU,Europe,ALB,Albania,1987,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1987,All,Age01_04,[1-4],1.00000000,0.08097166,,0.34965035,
EU,Europe,ALB,Albania,1987,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1987,All,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1987,All,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1987,All,Age20_24,[20-24],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1987,All,Age25_29,[25-29],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1987,All,Age30_34,[30-34],1.00000000,0.44247788,,0.41034058,
EU,Europe,ALB,Albania,1987,All,Age35_39,[35-39],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1987,All,Age40_44,[40-44],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1987,All,Age45_49,[45-49],1.00000000,0.25380711,,0.70422535,
EU,Europe,ALB,Albania,1987,All,Age50_54,[50-54],3.00000000,0.58479532,,2.49376559,
EU,Europe,ALB,Albania,1987,All,Age55_59,[55-59],3.00000000,0.36991369,,3.02419355,
EU,Europe,ALB,Albania,1987,All,Age60_64,[60-64],7.00000000,0.66100094,,9.04392765,
EU,Europe,ALB,Albania,1987,All,Age65_69,[65-69],11.00000000,0.79537238,,17.00154560,
EU,Europe,ALB,Albania,1987,All,Age70_74,[70-74],13.00000000,0.71982281,,31.86274510,
EU,Europe,ALB,Albania,1987,All,Age75_79,[75-79],15.00000000,0.70921986,,48.70129870,
EU,Europe,ALB,Albania,1987,All,Age80_84,[80-84],7.00000000,0.42708969,,42.16867470,
EU,Europe,ALB,Albania,1987,All,Age85_over,[85+],10.00000000,0.44923630,,100.00000000,
EU,Europe,ALB,Albania,1987,All,Age_unknown,[Unknown],0.00000000,,,,
EU,Europe,ALB,Albania,1987,Male,Age_all,[All],72.00000000,0.74719801,8.74033136,4.54488070,
EU,Europe,ALB,Albania,1987,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1987,Male,Age01_04,[1-4],1.00000000,0.15898251,,0.67024129,
EU,Europe,ALB,Albania,1987,Male,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1987,Male,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1987,Male,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
